timestamp,open,high,low,close,volume
2019-04-12 16:00:00,120.7200,120.9800,120.7200,120.9600,1028122
2019-04-12 15:55:00,120.7800,120.7900,120.6400,120.7200,286133
2019-04-12 15:50:00,120.7869,120.8000,120.7200,120.7800,199308
2019-04-12 15:45:00,120.7905,120.8200,120.7730,120.7900,176223
2019-04-12 15:40:00,120.7000,120.8000,120.6600,120.8000,208522
2019-04-12 15:35:00,120.7100,120.7436,120.6839,120.7015,302363
2019-04-12 15:30:00,120.6567,120.7250,120.6400,120.7100,266160
2019-04-12 15:25:00,120.6300,120.6700,120.6100,120.6600,189925
2019-04-12 15:20:00,120.6100,120.6500,120.5900,120.6350,102062
2019-04-12 15:15:00,120.5600,120.6400,120.5600,120.6100,144981
2019-04-12 15:10:00,120.5707,120.6000,120.5450,120.5550,141518
2019-04-12 15:05:00,120.5820,120.6000,120.5600,120.5700,109332
2019-04-12 15:00:00,120.5801,120.6000,120.5600,120.5824,112036
2019-04-12 14:55:00,120.6134,120.6400,120.5700,120.5850,70464
2019-04-12 14:50:00,120.6200,120.6400,120.5800,120.6145,102833
2019-04-12 14:45:00,120.6200,120.6628,120.5915,120.6200,133708
2019-04-12 14:40:00,120.5800,120.6200,120.5400,120.6200,127071
2019-04-12 14:35:00,120.5800,120.5961,120.5400,120.5700,114984
2019-04-12 14:30:00,120.6200,120.6300,120.5400,120.5893,329908
2019-04-12 14:25:00,120.5956,120.6700,120.5800,120.6104,109934
2019-04-12 14:20:00,120.6500,120.6760,120.5883,120.5900,129680
2019-04-12 14:15:00,120.6150,120.6650,120.6000,120.6450,166416
2019-04-12 14:10:00,120.5664,120.6225,120.5650,120.6200,91766
2019-04-12 14:05:00,120.4700,120.5700,120.4300,120.5655,216559
2019-04-12 14:00:00,120.5301,120.5500,120.4725,120.4750,138419
2019-04-12 13:55:00,120.5750,120.5800,120.5400,120.5400,92696
2019-04-12 13:50:00,120.6150,120.6150,120.5750,120.5800,62392
2019-04-12 13:45:00,120.6200,120.6300,120.5900,120.6200,80866
2019-04-12 13:40:00,120.6038,120.6200,120.5900,120.6200,95414
2019-04-12 13:35:00,120.5700,120.6324,120.5650,120.6000,78797
2019-04-12 13:30:00,120.5700,120.5900,120.5200,120.5650,126865
2019-04-12 13:25:00,120.6400,120.6400,120.5400,120.5600,180669
2019-04-12 13:20:00,120.6400,120.6800,120.6100,120.6450,125510
2019-04-12 13:15:00,120.6300,120.6800,120.6100,120.6400,122177
2019-04-12 13:10:00,120.6550,120.6700,120.6200,120.6300,126369
2019-04-12 13:05:00,120.6400,120.6700,120.5850,120.6550,133670
2019-04-12 13:00:00,120.6400,120.6700,120.6200,120.6470,136847
2019-04-12 12:55:00,120.5800,120.6500,120.5600,120.6450,116559
2019-04-12 12:50:00,120.6700,120.6800,120.5700,120.5750,163205
2019-04-12 12:45:00,120.6600,120.6800,120.6400,120.6600,186249
2019-04-12 12:40:00,120.6200,120.6700,120.5739,120.6600,300153
2019-04-12 12:35:00,120.6450,120.6500,120.5800,120.6200,138017
2019-04-12 12:30:00,120.6345,120.6600,120.6188,120.6400,126638
2019-04-12 12:25:00,120.7000,120.7000,120.6200,120.6350,137894
2019-04-12 12:20:00,120.6300,120.7400,120.6300,120.6950,212534
2019-04-12 12:15:00,120.6800,120.7200,120.6200,120.6250,105348
2019-04-12 12:10:00,120.6700,120.6990,120.6200,120.6950,156944
2019-04-12 12:05:00,120.7400,120.7664,120.6545,120.6620,82943
2019-04-12 12:00:00,120.7200,120.7570,120.7100,120.7400,90153
2019-04-12 11:55:00,120.7000,120.7400,120.6750,120.7200,215665
2019-04-12 11:50:00,120.7650,120.7700,120.6750,120.7000,124384
2019-04-12 11:45:00,120.7700,120.8050,120.7300,120.7700,133038
2019-04-12 11:40:00,120.6853,120.7600,120.6636,120.7600,111559
2019-04-12 11:35:00,120.5500,120.6900,120.5500,120.6800,152094
2019-04-12 11:30:00,120.6050,120.6400,120.5200,120.5500,109928
2019-04-12 11:25:00,120.4850,120.6300,120.4710,120.6100,120817
2019-04-12 11:20:00,120.4950,120.5300,120.4300,120.4900,161506
2019-04-12 11:15:00,120.5100,120.5100,120.3950,120.4900,155677
2019-04-12 11:10:00,120.5800,120.6100,120.4900,120.5200,151065
2019-04-12 11:05:00,120.6400,120.6400,120.4985,120.5900,184572
2019-04-12 11:00:00,120.6700,120.6800,120.5900,120.6500,150720
2019-04-12 10:55:00,120.6400,120.7100,120.6000,120.6750,175257
2019-04-12 10:50:00,120.6100,120.6700,120.5600,120.6150,219573
2019-04-12 10:45:00,120.8000,120.8200,120.6100,120.6100,278633
2019-04-12 10:40:00,120.8500,120.8800,120.7500,120.8000,155684
2019-04-12 10:35:00,120.8600,120.8932,120.8000,120.8600,239762
2019-04-12 10:30:00,120.7700,120.9200,120.7600,120.8750,328629
2019-04-12 10:25:00,120.6300,120.7716,120.5900,120.7600,262247
2019-04-12 10:20:00,120.5150,120.6600,120.4500,120.6400,271171
2019-04-12 10:15:00,120.5600,120.6300,120.4150,120.5000,248527
2019-04-12 10:10:00,120.6500,120.7000,120.5300,120.5495,240425
2019-04-12 10:05:00,120.6300,120.7100,120.5700,120.6500,220094
2019-04-12 10:00:00,120.6800,120.7300,120.5450,120.6250,243227
2019-04-12 09:55:00,120.4500,120.6900,120.4100,120.6700,313176
2019-04-12 09:50:00,120.6500,120.6800,120.3700,120.4350,351490
2019-04-12 09:45:00,120.6700,120.9750,120.5916,120.6350,454511
2019-04-12 09:40:00,120.6000,120.8100,120.5850,120.6650,390056
2019-04-12 09:35:00,120.6400,120.8100,120.4200,120.5900,971404
2019-04-11 16:00:00,120.1100,120.3400,120.0800,120.3300,1053114
2019-04-11 15:55:00,119.9750,120.1500,119.9600,120.1150,391239
2019-04-11 15:50:00,120.0750,120.1050,119.9700,119.9750,208537
2019-04-11 15:45:00,120.1100,120.1100,120.0350,120.0700,161995
2019-04-11 15:40:00,120.0600,120.1200,120.0400,120.1100,178678
2019-04-11 15:35:00,119.9900,120.1000,119.9800,120.0550,117626
2019-04-11 15:30:00,120.0200,120.0500,119.9800,119.9900,120796
2019-04-11 15:25:00,120.1000,120.1300,120.0100,120.0200,94546
2019-04-11 15:20:00,120.1012,120.1350,120.0700,120.0950,78356
2019-04-11 15:15:00,120.1385,120.1600,120.0800,120.1024,121139
2019-04-11 15:10:00,120.0800,120.1500,120.0800,120.1300,102462
2019-04-11 15:05:00,120.0650,120.1000,120.0300,120.0700,151413
2019-04-11 15:00:00,119.9880,120.0700,119.9500,120.0650,114500
2019-04-11 14:55:00,120.0100,120.0300,119.9300,119.9900,81898
2019-04-11 14:50:00,120.0400,120.0850,120.0050,120.0100,82682
2019-04-11 14:45:00,119.9600,120.0700,119.9400,120.0400,108014
2019-04-11 14:40:00,120.0200,120.0400,119.9500,119.9600,84206
2019-04-11 14:35:00,120.0100,120.0857,119.9900,120.0300,106434
2019-04-11 14:30:00,120.0750,120.0900,120.0000,120.0000,76539
2019-04-11 14:25:00,120.0992,120.1300,120.0700,120.0800,88636
2019-04-11 14:20:00,120.0967,120.1350,120.0300,120.0933,102117
2019-04-11 14:15:00,120.1200,120.1400,120.0747,120.0869,73221
