timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,118.9500,120.9800,118.1000,120.9500,120.9500,182863845,0.0000
2019-03-29,112.8900,120.8200,108.8000,117.9400,117.9400,589045341,0.0000
2019-02-28,103.7750,113.2400,102.3500,112.0300,112.0300,469095970,0.4600
2019-01-31,99.5500,107.9000,97.2000,104.4300,103.9836,714204787,0.0000
2018-12-31,113.0000,113.4200,93.9600,101.5700,101.1358,944287635,0.0000
2018-11-30,107.0500,112.2400,99.3528,110.8900,110.4160,720228643,0.4600
2018-10-31,114.7500,116.1800,100.1100,106.8100,105.8894,927547942,0.0000
2018-09-28,110.8500,115.2900,107.2300,114.3700,113.3842,480255674,0.0000
2018-08-31,106.0300,112.7770,104.8400,112.3300,111.3618,456630721,0.4200
2018-07-31,98.1000,111.1500,98.0000,106.0800,104.7570,569501573,0.0000
2018-06-29,99.2798,102.6900,97.2600,98.6100,97.3802,602585341,0.0000
2018-05-31,93.2100,99.9900,92.4500,98.8400,97.6073,509418119,0.4200
2018-04-30,90.4700,97.9000,87.5100,93.5200,91.9561,668258570,0.0000
2018-03-29,93.9900,97.2400,87.0800,91.2700,89.7437,732866406,0.0000
2018-02-28,94.7900,96.0700,83.8300,93.7700,92.2019,690287596,0.4200
2018-01-31,86.1250,95.4500,85.5000,95.0100,92.9911,543377322,0.0000
2017-12-29,83.6000,87.4999,80.7000,85.5400,83.7223,447828256,0.0000
2017-11-30,83.6800,85.0600,82.2400,84.1700,82.3814,416152260,0.4200
2017-10-31,74.7100,86.2000,73.7100,83.1800,81.0025,440510118,0.0000
2017-09-29,74.7100,75.9700,72.9200,74.4900,72.5400,367134396,0.0000
2017-08-31,73.1000,74.9600,71.2800,74.7700,72.8126,429156682,0.3900
2017-07-31,69.3300,74.4200,68.0200,72.7000,70.4217,451248934,0.0000
2017-06-30,70.2400,72.8900,68.0900,68.9300,66.7699,610120893,0.0000
2017-05-31,68.6800,70.7400,67.1400,69.8400,67.6514,505249296,0.3900
2017-04-28,65.8100,69.1400,64.8500,68.4600,65.9441,428857613,0.0000
2017-03-31,64.1300,66.1900,63.6200,65.8600,63.4396,489173200,0.0000
2017-02-28,64.3550,65.2400,62.7500,63.9800,61.6287,440744043,0.3900
2017-01-31,62.7900,65.9100,61.9500,64.6500,61.9002,494435826,0.0000
2016-12-30,60.1100,64.1000,58.8000,62.1400,59.4970,513579428,0.0000
